2018/1/1,2018/1/7,6.2,0
2018/1/8,2018/1/14,5.8,23.5
2018/1/15,2018/1/21,8.2,39
2018/1/22,2018/1/28,2.7,20
2018/1/29,2018/2/4,4.4,11.5
2018/2/5,2018/2/11,5.5,4
2018/2/12,2018/2/18,6.3,0
2018/2/19,2018/2/25,6.2,4
2018/2/26,2018/3/4,10.3,61.5
2018/3/5,2018/3/11,9.7,118
2018/3/12,2018/3/18,12.1,5.5
2018/3/19,2018/3/25,10.6,45.5
2018/3/26,2018/4/1,15.7,0
2018/4/2,2018/4/8,16.6,5.5
2018/4/9,2018/4/15,16.4,18.5
2018/4/16,2018/4/22,16.8,28
2018/4/23,2018/4/29,18.8,66.5
2018/4/30,2018/5/6,20.4,25.5
2018/5/7,2018/5/13,15.8,139
2018/5/14,2018/5/20,21.5,0
2018/5/21,2018/5/27,20.9,17
2018/5/28,2018/6/3,21.6,10.5
2018/6/4,2018/6/10,22.6,68
2018/6/11,2018/6/17,19.6,48
2018/6/18,2018/6/24,21.4,72.5
2018/6/25,2018/7/1,26.5,0
2018/7/2,2018/7/8,26.2,38.5
2018/7/9,2018/7/15,28.3,4
2018/7/16,2018/7/22,29.5,0
2018/7/23,2018/7/29,27.9,58.5
2018/7/30,2018/8/5,29.6,0
2018/8/6,2018/8/12,27,68.5
2018/8/13,2018/8/19,27,0.5
2018/8/20,2018/8/26,28.6,7.5
2018/8/27,2018/9/2,27.5,18.5
2018/9/3,2018/9/9,26.9,57.5
2018/9/10,2018/9/16,22.4,84
2018/9/17,2018/9/23,22.5,94
2018/9/24,2018/9/30,20.2,120.5
2018/10/1,2018/10/7,22.8,16
2018/10/8,2018/10/14,20.8,13.5
2018/10/15,2018/10/21,18.1,13.5
2018/10/22,2018/10/28,18,21
2018/10/29,2018/11/4,16.1,2
2018/11/5,2018/11/11,17.4,38
2018/11/12,2018/11/18,14.7,2.5
2018/11/19,2018/11/25,12.2,10.5
2018/11/26,2018/12/2,13.1,3
2018/12/3,2018/12/9,13.1,34
2018/12/10,2018/12/16,6.5,27
2018/12/17,2018/12/23,9.6,9
2018/12/24,2018/12/30,7,0
2018/12/31,2019/1/6,6.5,0
2019/1/7,2019/1/13,6,0
2019/1/14,2019/1/20,7.3,1
2019/1/21,2019/1/27,6.3,0
2019/1/28,2019/2/3,6.9,13.5
2019/2/4,2019/2/10,7.3,8
2019/2/11,2019/2/17,5.4,0.5
2019/2/18,2019/2/24,10,8
2019/2/25,2019/3/3,9.4,45
2019/3/4,2019/3/10,10.1,52
2019/3/11,2019/3/17,11,28.5
2019/3/18,2019/3/24,12.7,1
2019/3/25,2019/3/31,11.3,6.5
2019/4/1,2019/4/7,12,2.5
2019/4/8,2019/4/14,10.8,37.5
2019/4/15,2019/4/21,16.4,10
2019/4/22,2019/4/28,16.1,23.5
2019/4/29,2019/5/5,17.2,51.5
2019/5/6,2019/5/12,18.3,1.5
2019/5/13,2019/5/19,19.3,11.5
2019/5/20,2019/5/26,21.6,93.5
2019/5/27,2019/6/2,22,14.5
